time,.gaze_point_3d.x,.gaze_point_3d.y,.gaze_point_3d.z,.norm_pos.x,.norm_pos.y,.norm_pos.z,.gaze_normals_3d_left.x,.gaze_normals_3d_left.y,.gaze_normals_3d_left.z,.gaze_normals_3d_right.x,.gaze_normals_3d_right.y,.gaze_normals_3d_right.z,.eye_centers_3d_left.x,.eye_centers_3d_left.y,.eye_centers_3d_left.z,.eye_centers_3d_right.x,.eye_centers_3d_right.y,.eye_centers_3d_right.z,.pupil_confidence,.calib_rotation,.label,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id
2023/03/01/16:57:41.208076,198.5975748728629,-78.9380661639525,-90.21063347836468,0.7077311954055425,0.015417366925484233,0.0,0.8549737044899216,-0.46287895770740595,-0.23401503187292433,0.8976424009613668,-0.24709238501140773,-0.36494310962900395,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9995474733395795,0.0,0,2,1677550503,907510042,gaze
2023/03/01/16:57:42.699619,5878.560277996606,-260.10978527610484,40.24590465573932,0.5219731984087947,0.4556364952174883,0.0,0.9992030831299443,-0.0375377928708775,-0.013568816086777985,0.999835878694101,0.009320377553650547,-0.015535322277067665,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.995,0.0,0,2,1677550504,525594949,gaze
2023/03/01/16:57:42.764440,20159.72845696911,-725.8510421127547,588.5891558786509,0.5168613416786354,0.4802442988969722,0.0,0.9989929659001088,-0.04466321417332272,0.004272163598450673,0.997758827529461,-0.03819030939415501,0.05494381089270875,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550504,690201997,gaze
2023/03/01/16:57:43.938441,2293.6606608283764,-51.70676160568189,59.128412178719074,0.5085217362247991,0.4764945199813466,0.0,0.9999690485030552,-0.0026465863475042956,-0.007409292584290544,0.9978700150242604,-0.035926011919056144,0.05444956182628499,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550506,933223009,gaze
2023/03/01/16:57:45.763421,1370.24522657388,34.94637035109939,65.24020671029419,0.4787341796622055,0.5005012353467341,0.0,0.9980970923624615,0.057523784754993555,0.022208295861262606,0.9987349547046734,0.01106026243813324,0.04905263342424235,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9419623954751115,0.0,0,2,1677550508,668857097,gaze
2023/03/01/16:57:47.587563,1351.8308633861316,53.251446197928715,63.776119223855666,0.4701368787927115,0.5000023227165418,0.0,0.999052530370866,0.043378471149262264,0.003514228268414271,0.9980835026440733,0.03460065250620274,0.05130415768612695,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550510,481077909,gaze
2023/03/01/16:57:47.743505,3540.285048054594,78.64603726544357,375.0473628517606,0.4808285531060159,0.5642263966823886,0.0,0.9899285653081699,0.033487931001138865,0.13754996933540606,0.997406439207562,0.024930264960978728,0.06751945583509511,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.8,0.0,0,2,1677550510,706403970,gaze
2023/03/01/16:57:47.885039,4391.6365639555825,108.86897014978229,261.85290588418604,0.47918539717972397,0.5136855639071154,0.0,0.9945433258508767,0.009704214275304976,0.10387204258498003,0.9988180569124848,0.017256912128286124,0.04543883987697023,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.8,0.0,0,2,1677550510,948229074,gaze
2023/03/01/16:57:48.497044,1636.8823781612214,32.633414163737385,101.93793108843516,0.482192286765782,0.5165976106632968,0.0,0.9985551651258643,0.03749601189215552,0.03849196400083271,0.9977865264897898,0.013322349865257294,0.06515030736310834,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550511,460113048,gaze
2023/03/01/16:57:48.699689,4632.71208815768,-4.862549845114545,263.54640571393406,0.49519006465776183,0.5107018961643304,0.0,0.9989392087988382,0.03529868261142278,0.029571272043129454,0.9977020617643019,-0.005381611719952231,0.0675398712358597,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9889068539634975,0.0,0,2,1677550511,726531028,gaze
