time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/03/01/16:57:41.227321,1,1677550503,971476690,imu_link,0,0,35.8786049,127.1744866,93.927,"(0.34105599999999997, 0.0, 0.0, 0.0, 0.34105599999999997, 0.0, 0.0, 0.0, 0.7974490000000001)",2
2023/03/01/16:57:42.714097,2,1677550504,471245779,imu_link,0,0,35.878706199999996,127.17447569999999,93.616,"(0.33756099999999994, 0.0, 0.0, 0.0, 0.33756099999999994, 0.0, 0.0, 0.0, 0.788544)",2
2023/03/01/16:57:42.772828,3,1677550504,721503484,imu_link,0,0,35.8787569,127.1744707,93.465,"(0.3364, 0.0, 0.0, 0.0, 0.3364, 0.0, 0.0, 0.0, 0.784996)",2
2023/03/01/16:57:43.945458,4,1677550506,971845579,imu_link,0,0,35.8792109,127.17443759999999,92.20400000000001,"(0.3260410000000001, 0.0, 0.0, 0.0, 0.3260410000000001, 0.0, 0.0, 0.0, 0.7516889999999999)",2
2023/03/01/16:57:45.775771,5,1677550508,722095207,imu_link,0,0,35.8795607,127.17443019999999,91.116,"(0.3226240000000001, 0.0, 0.0, 0.0, 0.3226240000000001, 0.0, 0.0, 0.0, 0.7361639999999999)",2
2023/03/01/16:57:47.596652,6,1677550510,471961396,imu_link,0,0,35.8799087,127.1744384,89.881,"(0.3260410000000001, 0.0, 0.0, 0.0, 0.3260410000000001, 0.0, 0.0, 0.0, 0.725904)",2
2023/03/01/16:57:47.754176,7,1677550510,722487868,imu_link,0,0,35.879957999999995,127.1744408,89.783,"(0.3260410000000001, 0.0, 0.0, 0.0, 0.3260410000000001, 0.0, 0.0, 0.0, 0.725904)",2
2023/03/01/16:57:47.899764,8,1677550510,972500540,imu_link,0,0,35.8800075,127.17444309999999,89.641,"(0.3283290000000001, 0.0, 0.0, 0.0, 0.3283290000000001, 0.0, 0.0, 0.0, 0.725904)",2
2023/03/01/16:57:48.506381,9,1677550511,469369206,imu_link,0,0,35.8801061,127.1744485,89.342,"(0.33177600000000007, 0.0, 0.0, 0.0, 0.33177600000000007, 0.0, 0.0, 0.0, 0.7327359999999999)",2
2023/03/01/16:57:48.709197,10,1677550511,721872317,imu_link,0,0,35.8801549,127.17445149999999,89.182,"(0.332929, 0.0, 0.0, 0.0, 0.332929, 0.0, 0.0, 0.0, 0.737881)",2
